task,category,priority,due_date
Buy assignment,Home,High,2025-08-12
Attend email,Fitness,Low,2025-07-13
Send car service,Home,Low,2025-07-21
Pay exam,Shopping,Medium,2025-06-06
Complete budget,Study,Low,2025-07-31
Update lecture notes,Personal,High,2025-07-01
Complete presentation,Home,High,2025-07-25
Call report,Shopping,Low,2025-08-16
Submit exercise,Work,Medium,2025-05-20
Submit assignment,Home,Medium,2025-06-11
Attend budget,Personal,Medium,2025-05-25
Send budget,Home,High,2025-06-23
Review exam,Personal,Medium,2025-05-20
Call email,Home,Medium,2025-07-11
Send proposal,Study,High,2025-05-23
Plan budget,Personal,Medium,2025-07-07
Submit email,Fitness,High,2025-08-08
Fix invoice,Finance,Low,2025-08-07
Organize invoice,Home,Medium,2025-07-03
Plan car service,Shopping,Low,2025-07-28
Fix report,Study,Medium,2025-08-03
Fix lecture notes,Home,Low,2025-06-17
Prepare meeting,Study,High,2025-07-28
Read report,Health,Medium,2025-08-06
Research presentation,Health,Low,2025-05-23
Schedule presentation,Fitness,High,2025-08-09
Attend exam,Finance,High,2025-06-17
Call meeting,Study,High,2025-06-25
Submit presentation,Shopping,Medium,2025-08-17
Clean resume,Health,Medium,2025-07-06
Organize presentation,Shopping,Medium,2025-06-26
Fix exam,Shopping,High,2025-07-29
Update assignment,Finance,Medium,2025-07-26
Submit email,Work,Medium,2025-07-23
Read lecture notes,Health,Medium,2025-06-27
Write exercise,Finance,Low,2025-08-09
Submit car service,Shopping,Low,2025-06-29
Buy assignment,Work,Low,2025-05-26
Organize meeting,Shopping,Medium,2025-05-21
Attend proposal,Work,Medium,2025-08-12
Fix resume,Fitness,Medium,2025-06-09
Send car service,Shopping,Low,2025-06-25
Send assignment,Work,Low,2025-08-06
Write proposal,Fitness,Medium,2025-06-28
Fix resume,Work,Medium,2025-06-06
Pay budget,Health,Medium,2025-06-21
Send meeting,Work,High,2025-08-06
Attend exam,Work,Low,2025-05-31
Prepare email,Fitness,Low,2025-05-22
Complete proposal,Work,High,2025-06-14
Read assignment,Shopping,Medium,2025-07-19
Buy assignment,Shopping,Low,2025-06-08
Research assignment,Personal,Low,2025-08-13
Pay invoice,Finance,Low,2025-07-14
Schedule resume,Health,Medium,2025-06-05
Fix invoice,Finance,High,2025-08-08
Call resume,Fitness,High,2025-07-29
Fix assignment,Home,Low,2025-07-07
Pay report,Health,Medium,2025-06-12
Fix presentation,Work,Medium,2025-06-28
Update invoice,Home,High,2025-05-26
Review report,Study,Medium,2025-07-24
Research car service,Shopping,Low,2025-07-13
Update doctor appointment,Home,Low,2025-06-03
Update proposal,Health,Low,2025-05-27
Write presentation,Health,Low,2025-06-29
Clean resume,Study,High,2025-06-11
Submit invoice,Home,Low,2025-05-23
Organize exam,Personal,Medium,2025-06-26
Fix meeting,Health,Medium,2025-05-27
Complete invoice,Home,High,2025-06-16
Research doctor appointment,Work,Medium,2025-06-10
Attend resume,Personal,High,2025-07-30
Read report,Shopping,High,2025-07-08
Complete exercise,Fitness,Medium,2025-05-30
Clean assignment,Finance,Medium,2025-07-10
Buy email,Work,Medium,2025-07-26
Clean invoice,Personal,Low,2025-07-26
